LSOA,Unemployed,Full-time student,Unemployment Rate,Eastings,Northings
E01002809,92,52,9.9,529953,186725
E01002810,88,49,9.8,530212,186430
E01002768,74,35,7.8,529006,186205
E01002770,54,47,5.8,529007,187208
E01002771,89,32,10.1,528991,186237
E01002773,84,33,12.8,529209,186623
E01002774,117,64,9.2,529637,186430
E01002732,134,52,14.2,531006,186528
E01002734,98,49,13.2,531048,186459
E01002736,76,38,12.7,530887,186623
E01002737,113,65,13.1,530873,186558
E01002751,127,61,13.2,531056,185825
E01002742,36,41,3.4,531948,186019
E01002747,45,49,4.4,531750,186289
E01002748,93,29,11.7,531345,186053
E01002749,40,32,5.8,531927,185980
E01033493,22,28,2,531527,186128
E01033494,33,33,3.3,531472,185784
E01002730,102,90,9.3,530959,186418
E01002731,92,117,5.7,530684,186463
E01002733,53,47,5.7,530489,186577
E01002763,56,120,7.1,530348,185541
E01002769,42,117,3.9,529551,185965
E01002785,74,33,6.6,530246,186181
E01002788,71,39,5.8,529593,185914
E01002789,47,35,3.9,529564,185627
E01002738,85,29,8.3,532152,185622
E01002741,79,48,10.8,532233,186142
E01002743,56,47,6.2,532152,185872
E01002744,66,27,6.9,531988,185835
E01002752,64,34,7.5,531936,185841
E01002764,80,40,8.3,530181,185378
E01002783,74,59,9.3,530025,185332
E01002784,102,69,11,529405,185609
E01002786,81,62,8.2,530262,186156
E01002787,81,78,9.7,530164,185691
E01002762,77,47,6,530555,185624
E01002767,92,79,8.2,530731,185629
E01033486,49,40,8.4,531071,185153
E01033487,30,43,3.4,530883,185288
E01033488,64,42,9.3,530916,184909
E01033491,87,65,7.7,531136,185295
E01033492,29,26,2.7,531343,185531
E01002777,66,29,6.1,533248,185205
E01002778,99,57,13,533284,185184
E01002779,58,81,5.1,532555,185530
E01002781,69,36,9.5,532426,185191
E01002782,86,31,12.8,532918,185333
E01002739,62,32,5.4,531279,185112
E01002740,36,33,3,531351,185009
E01002745,51,26,5.4,531892,185595
E01002795,80,53,6.5,531470,184758
E01002796,40,19,6.1,531152,184798
E01002716,117,77,9.8,532842,184798
E01002718,49,32,4.2,532591,184390
E01002721,76,17,7.5,532792,183983
E01002775,50,31,5,532162,185058
E01002776,62,44,6.7,532762,184847
E01002780,77,28,7.6,532575,185136
E01002708,66,94,6.5,530536,184376
E01002712,112,42,13.1,530538,184327
E01002713,80,42,11.2,530507,184699
E01002765,122,128,10.5,530418,184941
E01002766,88,87,11.2,530291,184889
E01002717,49,24,6.5,532446,184750
E01002719,44,24,4.8,532206,184215
E01002720,125,60,11.6,532356,184353
E01002790,76,28,10.1,531708,184241
E01002791,56,14,5.7,531824,184578
E01002793,106,33,9.3,531826,183851
E01002698,89,44,6.4,530929,184428
E01002699,53,28,5.4,531379,184314
E01002700,34,19,3.8,531032,184214
E01002714,41,45,3.6,530659,184064
E01002792,82,37,6.5,531706,184046
E01002722,71,20,10.2,532603,183975
E01002797,108,55,9.5,532197,184052
E01002798,50,35,4,532334,183897
E01002799,110,39,11.4,532297,183888
E01002800,70,23,15.9,531998,183613
E01002694,92,42,13.1,531170,183474
